Buffer, Bandwidth, PreviousQuality, PreviousBandwidth, Quality
6504,6530,2,4350,2
7944,3712,2,6530,3
7366,3714,3,3712,2
8459,4979,2,3714,3
8511,4031,3,4979,3
8129,4456,3,4031,3
7965,4182,3,4456,3
7665,2907,3,4182,3
6401,3605,3,2907,2
7469,3287,2,3605,2
8456,4414,2,3287,3
8272,4513,3,4414,3
8134,3546,3,4513,3
7439,3833,3,3546,3
6939,2656,3,3833,2
7710,3572,2,2656,3
7035,2564,3,3572,2
7765,2806,2,2564,3
6387,2588,3,2806,2
7128,2628,2,2588,2
7887,2084,2,2628,3
3887,2261,3,2084,2
4460,2246,2,2261,2
5025,2269,2,2246,2
5603,2099,2,2269,2
6074,3140,2,2099,2
7019,3759,2,3140,2
8121,3738,2,3759,3
7560,2277,3,3738,3
3560,1188,3,2277,1
4787,1539,1,1188,2
4738,871,2,1539,2
3196,348,2,871,1
2801,1889,1,348,1
4277,1591,1,1889,2
4292,1801,2,1591,2
4527,1694,2,1801,2
4656,1835,2,1694,2
4922,1364,2,1835,2
4623,1487,2,1364,2
4506,1311,2,1487,2
4119,958,2,1311,2
2889,824,2,958,1
3819,1867,1,824,2
4113,1534,2,1867,2
4058,1777,2,1534,2
4270,1283,2,1777,2
3832,1907,2,1283,2
4160,832,2,1907,2
2456,1133,2,832,1
3651,1139,1,1133,1
4849,2084,1,1139,2
5309,1577,2,2084,2
5307,1276,2,1577,2
4858,1056,2,1276,2
3918,3002,2,1056,2
4819,2068,2,3002,2
5269,2107,2,2068,2
5745,2180,2,2107,2
6269,1912,2,2180,2
6601,1283,2,1912,2
6163,1373,2,1283,2
5878,1757,2,1373,2
6071,724,2,1757,2
2071,1614,2,724,1
3476,1670,1,1614,1
4897,2440,1,1670,2
5568,2521,2,2440,2
6278,1972,2,2521,2
6657,1851,2,1972,2
6937,2028,2,1851,2
7358,2535,2,2028,3
5629,4230,3,2535,2
6820,3329,2,4230,2
7819,3738,2,3329,3
7258,2620,3,3738,3
5646,1328,3,2620,2
5288,2177,2,1328,2
5810,2052,2,2177,2
6248,1980,2,2052,2
6634,1916,2,1980,2
6969,1319,2,1916,2
6595,1548,2,1319,2
6558,1617,2,1548,2
6603,2075,2,1617,2
7058,2924,2,2075,2
7932,4628,2,2924,3
7845,3695,3,4628,3
7255,2732,3,3695,3
5788,3420,3,2732,2
6811,3742,2,3420,2
7909,3979,2,3742,3
7497,2112,3,3979,3
3497,2356,3,2112,1
5058,4225,1,2356,2
6248,4255,2,4225,2
7443,5688,2,4255,3
7726,6951,3,5688,3
8302,3363,3,6951,3
7467,5687,3,3363,3
7749,5716,3,5687,3
8040,3945,3,5716,3
7608,2961,3,3945,3
6401,2264,3,2961,2
6977,2657,2,2264,3
0,32,1,0,1
0,2717,1,32,1
2000,2717,1,2717,1
4000,2176,1,2717,1
6000,3242,1,2176,1
7453,3274,1,3242,1
8909,2624,1,3274,1
10304,2614,1,2624,1
11698,3672,1,2614,1
13180,3672,1,3672,1
14662,425,1,3672,1
14482,4736,1,425,1
16014,1627,1,4736,1
17222,1633,1,1627,1
18632,1097,1,1633,1
19803,644,1,1097,2
15803,1867,2,644,2
16097,5440,2,1867,2
17446,5453,2,5440,2
18796,5438,2,5453,2
20144,5438,2,5438,2
21492,4613,2,5438,2
22742,3088,2,4613,2
23671,1355,2,3088,2
23358,10249,2,1355,3
24360,7801,3,10249,3
25081,12553,3,7801,3
26248,10780,3,12553,4
26553,11693,4,10780,4
26982,1356,4,11693,4
22982,8313,4,1356,4
22813,4204,4,8313,4
18813,9680,4,4204,4
18936,8593,4,9680,4
18835,725,4,8593,4
14835,7916,4,725,4
14562,994,4,7916,4
10562,9052,4,994,3
11446,8880,3,9052,3
12310,9778,3,8880,4
12451,2821,4,9778,4
8451,11984,4,2821,3
9583,16063,3,11984,3
10910,32816,3,16063,4
12286,22244,4,32816,4
13413,19451,4,22244,4
14429,2704,4,19451,1
16033,4261,1,2704,4
12033,14806,4,4261,4
12771,17943,4,14806,4
13713,21085,4,17943,5
14285,13936,5,21085,5
14176,11662,5,13936,5
13675,15295,5,11662,5
13744,16644,5,15295,5
13962,11882,5,16644,5
13506,8998,5,11882,5
12294,5904,5,8998,5
8294,5063,5,5904,4
6797,11906,4,5063,3
7925,19162,3,11906,4
8927,3347,4,19162,4
4927,4307,4,3347,3
4691,5339,3,4307,3
4868,11109,3,5339,3
5940,8450,3,11109,3
6751,13576,3,8450,4
7384,12669,4,13576,4
7927,8816,4,12669,4
7876,9108,4,8816,4
7888,12442,4,9108,4
8405,6234,4,12442,4
7546,3443,4,6234,4
3546,2964,4,3443,2
4434,1506,2,2964,3
434,669,3,1506,1
2000,1229,1,669,1
3249,4106,1,1229,2
4419,1222,2,4106,3
419,408,3,1222,1
2000,2215,1,408,1
3538,2228,1,2215,2
4092,1859,2,2228,2
4378,3696,2,1859,2
5467,2318,2,3696,3
1467,307,3,2318,1
2000,1647,1,307,1
3414,4476,1,1647,2
4644,2155,2,4476,3
644,994,3,2155,1
2000,1451,1,994,1
3348,2402,1,1451,2
3999,1584,2,2402,2
4006,3926,2,1584,2
5142,1096,2,3926,3
1142,839,3,1096,1
2089,887,1,839,1
3087,968,1,887,2
2000,635,2,968,1
2641,980,1,635,1
3725,1651,1,980,2
3808,1883,2,1651,2
4116,143,2,1883,2
116,284,2,143,1
2000,985,1,284,1
3087,1228,1,985,2
2546,949,2,1228,1
3603,1443,1,949,2
3425,929,2,1443,2
2097,1033,2,929,1
3223,1714,1,1033,2
3374,857,2,1714,2
2000,1380,2,857,1
3320,1283,1,1380,2
2882,792,2,1283,1
3772,377,1,792,2
0,206,2,377,1
2000,1502,1,206,1
3367,2005,1,1502,2
3771,2433,2,2005,2
4438,2278,2,2433,2
5021,1685,2,2278,2
5141,1569,2,1685,3
